物品id,描述,类型,数量
id,desc,type,count
1001,提现金额0.3元,Cash,0.3
1002,提现金额0.3元,Cash,0.3
1003,提现金额0.5元,Cash,0.5
1004,提现金额10元,Cash,10
1005,提现金额20元,Cash,20
1006,提现金额50元,Cash,50
1007,提现金额100元,Cash,100
2001,转盘1000红包币,RedBagCoin,1000
2002,转盘500红包币,RedBagCoin,500
2003,转盘300红包币,RedBagCoin,300
2004,转盘100红包币,RedBagCoin,100
2005,汽车20辆,Car,20
2006,汽车15辆,Car,15
2007,汽车10辆,Car,10
2008,汽车5辆,Car,5
3001,签到800红包币,RedBagCoin,800
3002,签到1500红包币,RedBagCoin,1500
3003,签到2000红包币,RedBagCoin,2000
3004,签到3000红包币,RedBagCoin,3000
3005,签到4000红包币,RedBagCoin,4000
3006,签到6000红包币,RedBagCoin,6000
3007,签到8000红包币,RedBagCoin,8000
4001,在线1分钟100红包币,RedBagCoin,100
4002,在线3分钟200红包币,RedBagCoin,200
4003,在线5分钟300红包币,RedBagCoin,300
4004,在线10分钟500红包币,RedBagCoin,500
5001,限时红包当天领取次数小于20次300红包币,RedBagCoin,300
5002,限时红包当天领取次数大于20次小于30次300红包币,RedBagCoin,300
5003,限时红包当天领取次数大于30次小于40次300红包币,RedBagCoin,300
5004,限时红包当天领取次数大于20次300红包币,RedBagCoin,300
6001,日常任务合成车20次得800红包币,RedBagCoin,800
6002,日常任务看视频补充车2次得1000红包币,RedBagCoin,1000
6003,日常任务转盘抽奖10次得2000红包币,RedBagCoin,2000
6004,日常任务今日观看视频10次得2000红包币,RedBagCoin,2000
6005,日常任务今日有效分享1次得500红包币,RedBagCoin,500
6006,日常任务限时红包领取5次800红包币,RedBagCoin,800
7001,成就任务转盘1-27得600红包币,RedBagCoin,600
7002,成就任务转盘30-57得800红包币,RedBagCoin,800
7003,成就任务转盘60-78得1000红包币,RedBagCoin,1000
